ano_base,sigla,tsg,TSPG
2018,CPCS,0.5128205128205128,0.3870967741935484
2020,CPCS,0.40425531914893614,0.875
2019,CPCS,0.33783783783783783,0.6060606060606061
2021,CPCS,0.47619047619047616,0.4625
2022,CPCS,0.4859154929577465,0.09302325581395349
2022,CPNA,0.43103448275862066,0
2021,CPNA,0.4626865671641791,0
2019,CPNA,0.7272727272727273,0
2020,CPNA,0.45454545454545453,0
2018,CPNA,0.4375,0
2018,FAMEZ,0.5384615384615384,0.6257496251874063
2020,FAMEZ,0.7422680412371134,0.6243386243386244
2019,FAMEZ,0.3645833333333333,0.6323396567299007
2021,FAMEZ,0.67,0.2625
2022,FAMEZ,0.7777777777777778,0.291025641025641
2023,FAMEZ,0.08163265306122448,0.1125
2022,CPAQ,0.44594594594594594,0.2785714285714286
2023,CPAQ,0.03225806451612903,0.045454545454545456
2021,CPAQ,0.4562334217506631,0.13970588235294118
2019,CPAQ,0.36523929471032746,0.9285714285714286
2020,CPAQ,0.30025445292620867,0.24489795918367346
2018,CPAQ,0.5733333333333334,0.5
2018,CPAN,0.4222222222222222,0.375
2020,CPAN,0.44664031620553357,0.4744318181818182
2019,CPAN,0.36553030303030304,0.32670454545454547
2021,CPAN,0.4306049822064057,0.06284153005464481
2022,CPAN,0.4426229508196721,0.18823529411764706
2023,CPAN,0.021052631578947368,0.07432432432432433
2022,CPTL,0.45178335535006603,0.5389082462253194
2021,CPTL,0.5481586402266289,0.3303148509334076
2019,CPTL,0.5157232704402516,0.5156402737047898
2020,CPTL,0.48180494905385735,1.382778071567072
2018,CPTL,0.4198895027624309,0.9347545219638242
2018,CPAR,0.39215686274509803,0
2020,CPAR,0.42735042735042733,0
2019,CPAR,0.48695652173913045,0
2021,CPAR,0.5537190082644629,0
2022,CPAR,0.5625,0
2022,CPCX,0.4316546762589928,0
2021,CPCX,0.5833333333333334,0
2019,CPCX,0.4954128440366973,0
2020,CPCX,0.3025210084033613,0
2018,CPCX,0.3602941176470588,0
2018,FAMED,1.2321428571428572,1.4641608391608392
2020,FAMED,1.064102564102564,0.9656862745098039
2019,FAMED,0.9298245614035088,0.7699507389162561
2021,FAMED,1.0256410256410255,0.7851285460992907
2022,FAMED,0.8354430379746836,0.6308333333333334
2023,FAMED,0.0375,0.03296703296703297
2022,FAODO,0.98,0
2021,FAODO,1.06,0
2019,FAODO,1.1041666666666667,0
2020,FAODO,0.5714285714285714,0
2020,FADIR,1.0252100840336134,0.5652173913043478
2018,FADIR,0.7521367521367521,0.2345679012345679
2019,FADIR,0.7983193277310925,0.46296296296296297
2021,FADIR,0.8983050847457628,0.09803921568627451
2022,FADIR,0.7226890756302521,0.17708333333333334
2022,FACOM,0.436,0.1604995374653099
2021,FACOM,0.27134146341463417,0.3050925925925926
2019,FACOM,0.273015873015873,0.8126934984520124
2018,FACOM,0.21232876712328766,0.7083683767872162
2020,FACOM,0.20909090909090908,0.4426074633915919
2020,CPPP,0.2468354430379747,0
2018,CPPP,0.17006802721088435,0
2019,CPPP,0.46153846153846156,0
2021,CPPP,0.3782051282051282,0
2022,CPPP,0.4859154929577465,0
2022,CPNV,0.5182481751824818,0
2021,CPNV,0.3776223776223776,0
2019,CPNV,0.6447368421052632,0
2018,CPNV,0.6351351351351351,0
2020,CPNV,0.5838926174496645,0
2020,INFI,0.26,0.44729907773386035
2018,INFI,0.13636363636363635,0.3870967741935484
2019,INFI,0.3617021276595745,0.45
2021,INFI,0.19148936170212766,0.6435344827586207
2022,INFI,0.24,0.2918233082706767
2022,INQUI,0.3125,0.3339130434782609
2023,INQUI,0.04,0.05714285714285714
2021,INQUI,0.32857142857142857,0.6703703703703703
2019,INQUI,0.20967741935483872,0.5210084033613445
2018,INQUI,0.2571428571428571,1.0763888888888888
2020,INQUI,0.36231884057971014,0.8554147465437788
2020,INMA,0.24489795918367346,0.41030736618971914
2018,INMA,0.17777777777777778,0.611304347826087
2019,INMA,0.23404255319148937,4.167342799188641
2021,INMA,0.5957446808510638,0.5565476190476191
2022,INMA,0.36,0.2251984126984127
2022,FAENG,0.4519774011299435,0.36567328918322295
2023,FAENG,0.06666666666666667,0.06542056074766354
2021,FAENG,0.5306122448979592,0.2816901408450704
2019,FAENG,0.4430379746835443,1.8336640211640212
2018,FAENG,0.4577319587628866,1.012280701754386
2020,FAENG,0.3986013986013986,0.9347826086956521
2020,ESAN,0.6956521739130435,0.9326298701298702
2018,ESAN,0.5,0.5476190476190477
2019,ESAN,0.5131578947368421,0.96875
2021,ESAN,0.5602409638554217,0.6511363636363636
2022,ESAN,0.5075075075075075,0.43189688341669874
2022,FACH,0.5329341317365269,0.12916666666666668
2023,FACH,0.04242424242424243,0.044444444444444446
2021,FACH,0.3755868544600939,0.17889908256880735
2019,FACH,0.803030303030303,0.3375
2018,FACH,0.8854166666666666,0.2548076923076923
2020,FACH,0.3051643192488263,0.4166666666666667
2020,FACFAN,0.5961538461538461,0.8375
2018,FACFAN,1.121212121212121,0.7012516469038208
2019,FACFAN,0.7551020408163265,0.7642857142857142
2021,FACFAN,0.5730337078651685,0.24107142857142858
2022,FACFAN,0.6781609195402298,0.4574074074074074
2022,FAALC,0.40963855421686746,0.3459735245449531
2021,FAALC,0.4398148148148148,0.1780821917808219
2019,FAALC,0.6790123456790124,0.45977011494252873
2018,FAALC,0.8114754098360656,0.2727272727272727
2020,FAALC,0.3364485981308411,0.5761904761904761
2020,FAED,0.5285714285714286,0.4904214559386973
2018,FAED,0.609271523178808,2.4130434782608696
2019,FAED,1.2444444444444445,1.1631944444444444
2021,FAED,0.5113636363636364,0.6337931034482759
2022,FAED,0.519774011299435,0.5605759682224429
2022,INBIO,0.35714285714285715,0.27555555555555555
2023,INBIO,0.02,0.06779661016949153
2021,INBIO,0.5729166666666666,0.4358241758241759
2019,INBIO,0.6790123456790124,0.45580645161290323
2018,INBIO,0.75,0.49311926605504586
2020,INBIO,0.4444444444444444,0.9851973684210527
2020,INISA,0.8552631578947368,0.5051020408163265
2018,INISA,1.4375,0.46153846153846156
2019,INISA,0.75,0.5392156862745098
2021,INISA,0.7865168539325843,0.1553030303030303
2022,INISA,0.7126436781609196,0.20437956204379562
